arrived_date,arrived_hour,arrived_minute,record_count
2018-10-21 09:30:07.700,9,30,10
2018-10-22 15:00:21.420,15,0,20
2018-10-23 13:00:16.637,13,0,338
2018-10-24 13:30:17.150,13,30,345
2018-10-25 13:00:07.547,13,0,340
2018-10-26 13:30:13.120,13,30,349
2018-10-27 11:00:15.273,11,0,220
2018-10-28 10:00:09.297,10,0,4
2018-10-29 15:30:09.373,15,30,10
2018-10-30 12:00:17.927,12,0,378
2018-10-31 13:00:17.437,13,0,401
2018-11-01 15:00:10.077,15,0,426
2018-11-02 13:30:13.730,13,30,208
2018-11-03 09:30:06.077,9,30,242
2018-11-04 07:00:06.093,7,0,4
2018-11-05 15:30:11.823,15,30,21
2018-11-06 10:00:15.367,10,0,291
2018-11-07 10:30:13.257,10,30,318
2018-11-08 12:30:15.007,12,30,363
2018-11-09 13:30:17.780,13,30,308
2018-11-10 09:30:08.647,9,30,274
2018-11-11 09:30:08.647,8,19,10
2018-11-12 16:30:16.610,16,30,15
2018-11-13 14:30:13.807,14,30,317
2018-11-14 13:00:21.863,13,0,344
2018-11-15 12:30:25.647,12,30,311
2018-11-16 13:00:15.853,13,0,293
2018-11-17 08:30:07.033,8,30,278
2018-11-18 09:00:12.673,9,0,8
2018-11-19 14:00:14.013,14,0,32
2018-11-20 11:30:16.353,11,30,367
2018-11-21 12:30:15.237,12,30,376
2018-11-22 12:00:16.337,12,0,324
2018-11-23 11:30:19.187,11,30,190
2018-11-24 09:30:07.120,9,30,130
2018-11-25 09:30:08.960,9,30,5
2018-11-26 13:00:08.213,13,0,31
2018-11-27 13:00:09.883,13,0,329
2018-11-28 12:30:07.537,12,30,379
2018-11-29 12:30:10.867,12,30,355
2018-11-30 12:30:10.867,12,16,342
2018-12-01 15:30:01.070,15,30,401
2018-12-02 12:00:04.030,12,0,9
2018-12-03 17:30:08.500,17,30,12
2018-12-04 13:30:09.420,13,30,290
2018-12-05 13:30:05.730,13,30,298
2018-12-06 12:00:16.817,12,0,313
2018-12-07 12:00:12.307,12,0,366
2018-12-08 09:00:01.903,9,0,251
2018-12-09 09:30:02.170,9,30,3
2018-12-10 14:30:07.897,14,30,47
2018-12-11 15:00:09.540,15,0,390
2018-12-12 13:00:07.997,13,0,328
2018-12-13 14:30:07.920,14,30,354
2018-12-14 15:30:09.540,15,30,366
2018-12-15 10:00:03.283,10,0,314
